word,word_start,word_end,word_duration,sentence,num_phonemes,num_vowels,phonemes,vowel_duration,consonant_duration,vowel_ratio,pitch_mean,pitch_max,pitch_min,pitch_range,pitch_slope,pitch_std,pitch_madiff,vowel_pitch_mean,vowel_pitch_max,energy_mean,energy_max,pre_pause,post_pause,pos_norm_start,pos_norm_center,word_duration_z,vowel_duration_z,vowel_ratio_z,pitch_mean_z,pitch_max_z,pitch_range_z,pitch_slope_z,pitch_std_z,pitch_madiff_z,vowel_pitch_mean_z,vowel_pitch_max_z,pre_pause_z,energy_max_z,prominence_score,cluster,stress_label
"Secondly,",0.0,0.591,0.591,"Secondly, the methodology requires a detailed analysis of the financial aspects of the business.",8,3,SEHKAH0NDLIY,0.22199999999999992,0.36900000000000005,0.37563451776649737,123.34,126.16,120.52,5.640000000000001,0.0,2.8200000000000003,5.640000000000001,120.52,120.52,0.0226375,0.0599,0.0,0.0,0.0,0.02464964964964965,-0.10887369257104054,0.06026400655877214,0.1178181993513091,-0.17188346910078725,-0.28244620398529546,-0.42426728410043413,0.06654311912615565,-0.4021966537617864,-0.3229936684987277,-0.19697739612112222,-0.2493620171227625,0.0,-0.03379961551009085,-0.23182258322017896,0,unstressed
Performing,0.0,0.583,0.583,Performing thermal testing can also help with validating the cold chain.,7,3,PAH0FAOMIHNG,0.24900000000000005,0.3339999999999999,0.42710120068610646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009285714285714287,0.0033,0.0,0.0,0.0,0.024315982649315983,-0.15684361381703496,0.25204506679408784,0.3626028432922967,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.06886999286019,-0.8843934601459071,0,unstressed
Herbert,0.0,0.41,0.41,Herbert went on to compete in the final two rounds of the season.,5,1,HH?ɜ?BAH0T,0.08200000000000002,0.32799999999999996,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124,0.0047,0.0,0.0,0.0,0.017100433767100433,-1.1941931607616632,-0.9341563057724886,-0.7175306216009475,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.0432675453638975,-1.472373656929937,0,unstressed
Blaylock,0.0,0.441,0.441,Blaylock also played for the New York Jets.,6,1,BLEYL?ɒ?K,0.07300000000000001,0.368,0.16553287981859413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0005,0.0,0.0,0.0,0.018393393393393395,-1.0083097159334349,-0.998083325850927,-0.8814623394164379,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.1200748878527742,-1.5196986354669315,0,unstressed
When,0.0,0.599,0.599,"When spinning fleece into yarn, the fleece must be scoured and vegetable matter removed.",3,1,WEHN,0.199,0.39999999999999997,0.332220367278798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038666666666666663,0.0064,0.0,0.0,0.0,0.024983316649983316,-0.06090377132504613,-0.1031050447527916,-0.08866717655161217,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.0121788591183998,-1.050630289170989,0,unstressed
In,0.0,0.566,0.566,"In the interim administration, Karzai much needed the support of Fahim.",2,1,IHN,0.283,0.283,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012000000000000001,0.002,0.0,0.0,0.0,0.02360694027360694,-0.2587796964647731,0.49354714264596505,0.7093224222799311,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.0926436941067468,-0.7683971624692801,0,unstressed
Musician,0.0,0.832,0.832,Musician Stephane Holweck has a rich background in electronic music.,8,3,MYUWZIHSHAH0N,0.31200000000000006,0.5199999999999999,0.3750000000000001,253.4,270.44,236.36,34.079999999999984,0.0,17.039999999999992,34.079999999999984,236.36,236.36,0.0117,0.049,0.0,0.0,0.0,0.03470136803470137,1.3362201849645399,0.6995342073431555,0.11480032066289875,1.1464310556926083,0.9022325807690229,-0.029278554574616297,0.06654311912615565,0.05490414451859801,0.270345721581081,0.9252597006299408,0.7858668352990806,0.0,-0.23313295673122297,0.7587818601626909,0,unstressed
Group,0.0,0.803,0.803,Group business travel is more common than you might think.,4,1,GRUWP,0.20099999999999996,0.6020000000000001,0.25031133250311327,116.84,121.82,111.86,9.959999999999994,0.0,4.979999999999997,9.959999999999994,111.86,111.86,0.0733,0.2404,0.0,0.0,0.0,0.03349182515849183,1.1623292204478108,-0.08889904029091682,-0.4782410285217139,-0.23776878673231938,-0.3180818147825906,-0.36426899607119606,0.06654311912615565,-0.3327636211116015,-0.23286616620812392,-0.2808739194106958,-0.3267539530859286,0.0,3.2670873652618675,0.3539549705194921,0,unstressed
A,0.0,0.504,0.504,"A contemporary of Ernest Hemingway, they were friends and mutually admired each other's writing.",1,1,EY,0.504,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0,0.0,0.021021021021021023,-0.6305465861212292,2.063310635683171,3.087410828748063,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.1255611266019796,0.00990109755027635,0,unstressed
Most,0.0,0.475,0.475,Most of the founding unions were part of the Federated District.,5,2,MAH0UHST,0.18999999999999997,0.28500000000000003,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086,0.0022,0.0,0.0,0.0,0.01981147814481148,-0.804437550637959,-0.1670320648312301,0.23370474098630464,-1.422082711665891,-1.3183422081757916,-0.5025983823608284,0.06654311912615565,-0.4928453352773058,-0.4406601298225717,-1.3645534916014233,-1.32641468713209,0.0,-1.0889862016072764,-1.0979552677079836,0,unstressed
